Link,Month-Year,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,2025/02,02/10/2025 19:34,Las Vegas,NV,USA,Circle,"We saw a string of at least eight crafts flying in a straight line, very fast. Then they started to disperse in different directions.",Y,,
Open,2025/02,02/10/2025 19:22,New Paltz,NY,USA,Rectangle,Sky was not completely black and could see rectangle shape of second craft,Y,,
Open,2025/02,02/10/2025 19:05,Palm Harbor,FL,USA,Cross,It was a huge afterwords a bunch of helicopter. pters and planes came to the area,Y,Drone?,
Open,2025/02,02/10/2025 18:41,Fremont,CA,USA,Light,A light object with a very strange cloud formation extended after it,Y,Rocket,
Open,2025/02,02/10/2025 18:15,Southern Pines,NC,USA,Orb,Saw the 3 orbs just above the trees shot off at an extremely high rate of speed in succession.,,,
Open,2025/02,02/10/2025 18:13,Merced,CA,USA,Changing,A zig zag stream of white with a central light moving from it creating a round span of white equidistant from the center and all around,,Rocket,
Open,2025/02,02/10/2025 18:11,Bakersfield,CA,USA,Circle,We were in the backyard around 6pm when my wife saw this thing flying in the sky with a red trail it soon stopped and changed to a blue,Y,Rocket,
Open,2025/02,02/10/2025 04:00,Prescott,ON,Canada,Orb,"Observing through the telescope. Suspected UFO has been sighted in Prescott, Ontario",Y,,
Open,2025/02,02/10/2025 03:00,Carol Stream,IL,USA,Oval,"A white oval shaped light is seen on my front door, Ring camera.",Y,,
Open,2025/02,02/10/2025 01:00,Auckland,Auckland,New Zealand,Changing,Looked like stars then darted around flying lower,,,
Open,2025/02,02/09/2025 21:58,,FL,USA,Light,"Two white lights (No Strobe lights, just white) seemed to be dancing around each other. Also one strong white/red light pulsating,",Y,Aircraft,
Open,2025/02,02/09/2025 21:05,Lima,Buenos Aires Province,Argentina,Unknown,I was in the backyard of my house watching the sky when suddenly this orange UFO appeared and then disappeared without a trace.,Y,Chinese Lantern,
Open,2025/02,02/09/2025 18:57,McDonough,GA,USA,Circle,The power went out at the gym and when we left we saw 4 lights in one spot in a straight line the disappeared one by one,Y,Chinese Lantern?,
Open,2025/02,02/09/2025 16:05,Manaus,Amazonas,Brazil,Flash,"Well, yesterday on 09/02/2025, I was in my backyard when I looked at the sky and there were many unidentified flying objects.",Y,,
Open,2025/02,02/09/2025 04:45,Cartago,Provincia de Cartago,Costa Rica,Light,"Blinking light that cross the sky from east to west , constant speed until it stoped mid air for aprox 30 seconds and then disappeared",,,
Open,2025/02,02/08/2025 21:20,Roca,NE,USA,Light,Saw several moving lights in air space that was not like anything I have ever seen before.,,,
Open,2025/02,02/08/2025 21:02,Hendersonville,NC,USA,Unknown,Several objects moving from east to WSW. High in altitude.,,,
Open,2025/02,02/08/2025 20:48,Elgin,TX,USA,Disk,Mysterious flying object,,,
Open,2025/02,02/08/2025 20:44,Preston,England,United Kingdom,Circle,Round circle ball flashing blue at first then two lines from top to bottom red and as it got closer it flashed green,,,
Open,2025/02,02/08/2025 19:30,Elliott's Cove,NL,Canada,Orb,Bright orb hovering very low. Multi color lights. It's visited 3 evenings and stays for app1 hour.,Y,Planet/Star,
Open,2025/02,02/08/2025 19:30,Weaverville,NC,USA,Orb,Multiple craft seen flying over. Some in formation others at random elevation.,,,
